rufas_id,Name,Fd_Category,feed_type,DM,ash,CP,N_A,N_B,N_C,Kd,RUP,dRUP,sol_prot,ADICP,NDICP,ADF,NDF,NDF48,lignin,starch,WSC,FA,EE,DE_Base,calcium,phosphorus,magnesium,potassium,sodium,chlorine,sulfur,copper,iron,manganese,zinc,molibdenum,chromium,cobalt,iodine,selenium,arginine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,triptophan,valine,C120_FA,C140_FA,C160_FA,C161_FA,C180_FA,C181t_FA,C181c_FA,C182_FA,C183_FA,otherFA_FA,NPN_source,starch_digested,FA_dig,P_inorg,P_org,B_Carotene,biotin,choline,niacin,Vit_A,Vit_D,Vit_E,Abs_calcium,Abs_phosphorus,Abs_sodium,Abs_chloride,Abs_potassium,Abs_copper,Abs_iron,Abs_magnesium,Abs_manganesum,Abs_zinc,is_fat,is_wetforage,units,limit,lower_limit,TDN,DE
35,Corn cobs,By-Product/Other,Conc,89.831,2.752,2.969,45,49,6,2.8,40.908,60,36.022,0.354,0.85,46.3,83.786,65,4.198,1.127,1.067,0.351,0.618,2.403,0.043,0.059,0.036,0.962,0.008,0.278,0.037,5.6,188.319,8.495,21.879,1,0,0,0,0.08,4,2.94,3.5,12.7,2.78,2.5,4.72,3.59,0.69,4.78,0,1.154,12.693,0.124,1.941,0,25.104,56.246,1.689,1.049,0,91,73,0,100,0,0,0,0,0,0,0,0.6,0.68,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,54.15,2.31
36,"Corn gluten feed, dry",By-Product/Other,Conc,89.159,7.504,23.193,51,39,10,7.025,30.006,79.129,45.713,4.436,9.884,11.515,35.682,74.11,2.312,15.511,5.827,3.38,3.91,3.194,0.068,1.074,0.427,1.466,0.329,0.288,0.496,5.573,146.061,21.237,73.623,1.241,0,0,0,0.19,4.577,2.935,2.985,8.458,3.085,1.592,3.483,3.582,0.498,4.726,0.027,0.99,23.94,0.201,2.514,0,17.191,50.485,3.209,1.443,0,91,73,33,67,0,0,0,0,0,0,0,0.6,0.733,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,74.07,3.43
40,"Corn and cob meal, dry",Energy Source,Conc,86.346,1.86,8.406,30,68,1.7,5,38.559,60.7,21.143,0.674,1.245,8.762,19.02,30.5,1.865,62.115,4.45,3.263,3.686,3.337,0.045,0.29,0.117,0.462,0.009,0.095,0.099,3.884,114,11.322,26.862,1,0.05,0,0,0.07,3.3,2.79,3.54,13,2.6,2,4.5,3.56,0.68,4.74,0,0.3,13.6,0.2,1.8,0,26,55.1,1.6,1.4,0,91,73,10,90,0,0,0,0,0,0,0,0.6,0.696,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,83.52,3.62
42,Corn gluten meal,By-Product/Other,Conc,90.526,2.779,68.522,8,72,20,2.505,69.356,91.627,7.512,1.113,1.959,3.714,6.832,73,1.792,16.398,1.628,1.443,2.443,4.31,0.043,0.494,0.065,0.222,0.054,0.076,0.971,5.23,122.482,6.134,29.446,1.129,0,0,0,0.34,3.141,2.023,3.98,16.349,1.645,2.385,6.184,3.339,0.543,4.507,0,0.219,13.622,0.083,2.166,0,22.218,57.46,2.766,1.466,0,91,73,10,90,0,0,0,0,0,0,0,0.6,0.696,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,84.4,4.43
43,"Corn grain dry, coarse grind",Energy Source,Conc,86.907,1.504,8.514,23,70,7,5.355,43.24,73.07,22.078,0.523,0.912,3.551,9.761,62.332,1.37,70.367,2.884,3.84,3.845,3.095,0.035,0.309,0.132,0.557,0.018,0.104,0.104,2.069,39.026,7.152,23.428,0.914,0.05,0,0,0.07,4.75,2.875,3.375,12,3,2,4.875,3.625,0.75,4.625,0,2.329,13.209,0.123,1.986,0,24.092,55.704,1.623,0.934,0,77,73,10,90,0,0,0,0,0,0,0,0.6,0.696,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,84.96,3.69
44,"Corn grain dry, medium grind",Energy Source,Conc,86.907,1.504,8.514,23,70,7,5.355,43.24,73.07,22.078,0.523,0.912,3.551,9.761,62.332,1.37,70.367,2.884,3.84,3.845,3.452,0.035,0.309,0.132,0.557,0.018,0.104,0.104,2.069,39.026,7.152,23.428,0.914,0.05,0,0,0.07,4.75,2.875,3.375,12,3,2,4.875,3.625,0.75,4.625,0,2.329,13.209,0.123,1.986,0,24.092,55.704,1.623,0.934,0,89,73,10,90,0,0,0,0,0,0,0,0.6,0.696,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,88.69,3.85
46,"Corn grain HM, coarse grind",Energy Source,Conc,72.267,1.572,8.509,28,71,1,5.1,38.921,90,33.109,0.441,0.768,3.524,9.582,50.898,1.212,70.928,2.975,3.571,3.578,3.519,0.041,0.313,0.128,0.445,0.016,0.117,0.112,1.602,37.916,5.943,22.714,1,0.05,0,0,0.07,4.75,2.875,3.375,12,3,2,4.875,3.625,0.75,4.625,0,2.329,13.209,0.123,1.986,0,24.092,55.704,1.623,0.934,0,90,73,48,52,0,0,0,0,0,0,0,0.6,0.757,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,91.5,3.96
47,"Corn grain, steam-flaked",Energy Source,Conc,85.74,1.286,7.998,2,82,16,3,68.432,90,13.934,0.632,1.285,3.371,8.641,55.667,1.263,71.744,1.801,3.14,3.138,3.622,0.06,0.242,0.098,0.403,0.005,0.081,0.093,2.077,31.775,5.176,17.095,1,0.03,0,0,0.07,4.75,2.875,3.375,12,3,2,4.875,3.625,0.75,4.625,0,0.873,12.924,0.079,1.856,0,23.166,58.381,1.818,0.903,0,94,73,0,100,0,0,0,0,0,0,0,0.6,0.68,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,91.67,3.97
49,Corn hominy feed,By-Product/Other,Conc,89.092,2.611,10.062,45,49,6,7,29.957,90,28.331,0.507,1.065,5.69,16.903,75,1.587,55.645,4.816,5.38,7.215,3.5,0.061,0.523,0.206,0.664,0.017,0.098,0.125,3.791,76.623,11.758,39.689,1,0,0,0,0.1,6.2,2.8,3.2,9.1,4.3,1.9,4.3,3.8,0.9,4.8,0,2.619,13.963,0,2.373,0,24.803,53.384,1.806,1.052,0,91,73,10,90,0,0,0,0,0,0,0,0.6,0.696,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,83.06,3.64
50,"Corn silage, immature",Grain Crop Forage,Forage,31.275,4.042,7.91,58,26,16,4,33.988,70,52.673,0.844,1.256,25.496,42.594,53.407,3.152,30.176,2.877,2.321,2.957,2.93,0.244,0.236,0.173,1.054,0.024,0.268,0.107,6.338,166.064,30.052,27.618,1.112,0.22,0,0,0.04,2.317,1.707,3.415,8.537,2.805,1.585,3.902,3.415,0.732,4.512,0.307,0.464,17.828,0.363,2.424,0.004,19.235,47.735,8.245,3.395,0,91,73,92,8,0,0,0,0,0,0,0,0.4,0.827,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,TRUE,kg,100,0,65.6,2.87
